"","nazwa","teryt"
"1","Nagłowice","2602042"
"2","Sędziszów","2602063"
"3","Imielno","2602012"
"4","Bieliny","2604012"
"5","Mniów","2604112"
"6","Końskie","2605033"
"7","Stąporków","2605083"
"8","Ożarów","2606053"
"9","Klimontów","2609032"
"10","Wilczyce","2609082"
"11","Pińczów","2608043"
"12","Osiek","2612043"
"13","Waśniów","2607062"
"14","Złota","2608052"
"15","Sandomierz","2609011"
"16","Samborzec","2609072"
"17","Giżycko","2806011"
"18","Pasłęk","2804073"
"19","Kluczewsko","2613012"
"20","Iława","2807011"
"21","Barczewo","2814013"
"22","Bisztynek","2801043"
"23","Grunwald","2815032"
"24","Ostróda","2815011"
"25","Olsztyn","2862011"
"26","Pozezdrze","2819022"
"27","Lelkowo","2802042"
"28","Działdowo","2803011"
"29","Braniewo","2802022"
"30","Margonin","3001043"
"31","Drawsko","3002032"
"32","Połajewo","3002062"
"33","Włoszakowice","3013072"
"34","Rydzyna","3013043"
"35","Czajków","3018012"
"36","Kaczory","3019032"
"37","Piła","3019011"
"38","Wysoka","3019093"
"39","Ujście","3019073"
"40","Kleszczewo","3021062"
"41","Obrzycko","3024042"
"42","Swarzędz","3021163"
"43","Miejska Górka","3022033"
"44","Skoki","3028053"
"45","Krajenka","3031033"
"46","Wilczyn","3010142"
"47","Sompolno","3010103"
"48","Dąbie","3009043"
"49","Stawiszyn","3007093"
"50","Trzcinica","3008072"
"51","Kłodawa","3009063"
"52","Kazimierz Biskupi","3010032"
"53","Zakrzewo","3031072"
"54","Zduny","3012063"
"55","Kłobuck","2406013"
"56","Koźmin Wielkopolski","3012033"
"57","Wielowieś","2405082"
"58","Kuźnia Raciborska","2411053"
"59","Kornowac","2411022"
"60","Żarki","2409053"
"61","Włodowice","2416092"
"62","Żarnowiec","2416102"
"63","Miedzna","1433062"
"64","Korytnica","1433032"
"65","Racławice","1208062"
"66","Pcim","1209042"
"67","Janikowo","0407053"
"68","Rymań","3208052"
"69","Biesiekierz","3209022"
"70","Janowiec","0614032"
"71","Końskowola","0614052"
"72","Puławy","0614092"
"73","Liniewo","2206052"
"74","Zapolice","1019032"
"75","Galewice","1018032"
"76","Skołyszyn","1805092"
"77","Wojaszówka","1807092"
"78","Wojcieszów","0226011"
"79","Złotoryja","0226021"
"80","Kruszwica","0407063"
"81","Pakość","0407073"
"82","Rojewo","0407082"
"83","Bobrowniki","0408022"
"84","Boleszkowice","3210022"
"85","Nowogródek Pomorski","3210052"
"86","Ulan-Majorat","0615072"
"87","Nowodwór","0616032"
"88","Stężyca","0616052"
"89","Świdnik","0617011"
"90","Głowno","1020011"
"91","Głowno","1020052"
"92","Rogów","1021052"
"93","Garwolin","1403011"
"94","Borowie","1403032"
"95","Żelechów","1403143"
"96","Horyniec-Zdrój","1809032"
"97","Wąsosz","0204043"
"98","Lipiany","3212033"
"99","Kozielice","3212022"
"100","Darłowo","3213032"
"101","Tomaszów Lubelski","0618011"
"102","Rachanie","0618072"
"103","Potęgowo","2212072"
"104","Główczyce","2212042"
"105","Kobylnica","2212062"
"106","Huszlew","1410012"
"107","Łosice","1410023"
"108","Goszczyn","1406042"
"109","Błędów","1406022"
"110","Czarna","1810032"
"111","Wolbrom","1212073"
"112","Sucha Beskidzka","1215021"
"113","Wądroże Wielkie","0205062"
"114","Wielgie","0408092"
"115","Tłuchowo","0408082"
"116","Jeziora Wielkie","0409022"
"117","Radziejów","0411011"
"118","Chociwel","3214023"
"119","Ińsko","3214053"
"120","Urszulin","0619052"
"121","Radecznica","0620082"
"122","Starogard Gdański","2213122"
"123","Zblewo","2213132"
"124","Tczew","2214062"
"125","Szelków","1411102"
"126","Mińsk Mazowiecki","1412011"
"127","Stanisławów","1412142"
"128","Sulejówek","1412151"
"129","Gniewoszów","1407032"
"130","Łańcut","1810042"
"131","Rzepiennik Strzyżewski","1216072"
"132","Kłodzko","0208072"
"133","Tuczno","3217043"
"134","Chełm","0662011"
"135","Zamość","0664011"
"136","Brody","0811032"
