"","nazwa","teryt"
"1","Horyniec-Zdrój","180903_2"
"2","Stary Dzików","180907_2"
"3","Czarna","181003_2"
"4","Markowa","181005_2"
"5","Przemyśl","181308_2"
"6","LESKO - G","182103_5"
"7","Hyżne","181607_2"
"8","Kamień","181608_2"
"9","Sokołów Małopolski - miasto w gminie miejsko-wiejskiej","181611_4"
"10","Miasto Tarnobrzeg","186401_1"
"11","KAŃCZUGA - M","181405_4"
"12","OSTRÓW","181502_2"
"13","Boguchwała - miasto w gminie miejsko-wiejskiej","181603_4"
"14","JUCHNOWIEC KOŚCIELNY","200205_2"
"15","gm. Wasilków","200213_5"
"16","KOTLA","020304_2"
"17","Piława Górna","020204_1"
"18","Łagiewniki","020206_2"
"19","Wąsosz obszar wiejski","020404_5"
"20","Krotoszyce","020903_2"
"21","Kłodzko - gmina","020807_2"
"22","Stronie Śląskie - miasto","020813_4"
"23","Milicz - miasto","021303_4"
"24","Ścinawa-miasto","021104_4"
"25","Olszyna - miasto w gminie miejsko-wiejskiej","021005_4"
"26","Lubin-gmina","021102_2"
"27","Świdnica - miasto","021901_1"
"28","STARE BOGACZOWICE","022107_2"
"29","ŻMIGRÓD - OBSZAR WIEJSKI","022006_5"
"30","OBORNIKI ŚLĄSKIE - MIASTO","022001_4"
"31","Wińsko","022202_2"
"32","Kąty Wrocławskie-obszar wiejski","022304_5"
"33","Mietków","022306_2"
"34","WOJCIESZÓW","022601_1"
"35","Gmina Raciążek","040107_2"
"36","Miasto Nieszawa","040103_1"
"37","Miasto Ciechocinek","040102_1"
"38","Gmina Bądkowo","040105_2"
"39","GÓRZNO - OBSZAR WIEJSKI","040205_5"
"40","Solec Kujawski - M","040308_4"
"41","Kowalewo PomorskieG","040504_5"
"42","Nowa Wieś Wielka","040305_2"
"43","Golub Dobrzyń - M","040501_1"
"44","Radzyń Chełmiński - Miasto","040604_4"
"45","Radzyń Chełmiński - Gmina","040604_5"
"46","TŁUCHOWO","040808_2"
"47","KIKÓŁ","040805_2"
"48","Szubin - ob. wiejski","041005_5"
"49","Chełmża","041501_1"
"50","BRZEŚĆ KUJAWSKI - MIASTO","041804_4"
"51","IZBICA KUJAWSKA - MIASTO","041808_4"
"52","Rogowo","041905_2"
"53","Łabiszyn (W)","041904_5"
"54","ALEKSANDRÓW","060202_2"
"55","KSIĘŻPOL","060208_2"
"56","BIŁGORAJ","060203_2"
"57","Miasto Hrubieszów","060401_1"
"58","KAMIONKA","060805_2"
"59","GODZISZÓW","060504_2"
"60","GARBÓW","060904_2"
"61","Kock","060806_5"
"62","WYSOKIE","060915_2"
"63","ADAMÓW","061103_2"
"64","SIEMIEŃ","061306_2"
"65","MILANÓW","061303_2"
"66","STĘŻYCA","061605_2"
"67","CZEMIERNIKI","061503_2"
"68","PUŁAWY","061401_1"
"69","Miasto Lublin","066301_1"
"70","Miasto Zamość","066401_1"
"71","Lubiszyn","080105_2"
"72","M. Gubin","080201_1"
"73","Szczebrzeszyn - obszar wiejski","062013_5"
"74","Deszczno","080103_2"
"75","Zwierzyniec - obszar wiejski","062015_5"
"76","Kłodawa","080104_2"
"77","Międzyrzecz - miasto","080302_4"
"78","PSZCZEW","080304_2"
"79","Skwierzyna - obszar wiejski","080305_5"
"80","Trzciel - obszar wiejski","080306_5"
"81","Rzepin obszar wiejski","080504_5"
"82","NOWA SÓL - MIASTO","080401_1"
"83","Drezdenko - miasto","080602_4"
"84","Stare Kurowo","080603_2"
"85","Świebodzin obszar wiejski","080805_5"
"86","Lubniewice obszar wiejski","080702_5"
"87","Słubice miasto","080505_4"
"88","Jasień miasto","081104_4"
"89","M. Żary","081102_1"
"90","Nowogród Bobrzański obszar wiejski","080905_5"
"91","Trzebiel","081108_2"
"92","WITONIA","100408_2"
