"","nazwa","teryt"
"1","powiat ropczycko-sędziszowski","1815"
"2","powiat łosicki","1410"
"3","powiat piaseczyński","1418"
"4","powiat radomski","1425"
"5","powiat sierpecki","1427"
"6","powiat szydłowiecki","1430"
"7","powiat węgrowski","1433"
"8","powiat gostyniński","1404"
"9","powiat grodziski","1405"
"10","powiat łukowski","0611"
"11","powiat tomaszowski","0618"
"12","powiat Chełm","0662"
"13","powiat brzeski","1202"
"14","powiat Kraków","1261"
"15","powiat zgierski","1020"
"16","powiat sulęciński","0807"
"17","powiat łańcucki","1810"
"18","powiat brzeski","1601"
"19","powiat ostrzeszowski","3018"
"20","powiat Radom","1463"
"21","powiat żyrardowski","1438"
"22","powiat obornicki","3016"
"23","powiat leszczyński","3013"
"24","powiat Siedlce","1464"
"25","powiat Leszno","3063"
"26","powiat kolski","3009"
"27","powiat Łomża","2062"
"28","powiat rawicki","3022"
"29","powiat słupecki","3023"
"30","powiat kościerski","2206"
"31","powiat włoszczowski","2613"
"32","powiat stargardzki","3214"
"33","powiat Wrocław","0264"
"34","powiat giżycki","2806"
"35","powiat mrągowski","2810"
"36","powiat głogowski","0203"
"37","powiat choszczeński","3202"
"38","powiat Sosnowiec","2475"
"39","powiat rybnicki","2412"
"40","powiat Gliwice","2466"
"41","powiat Piekary Śląskie","2471"
"42","powiat Jaworzno","2468"
"43","powiat inowrocławski","0407"
"44","powiat brodnicki","0402"
"45","powiat włocławski","0418"
"46","powiat mogileński","0409"
"47","powiat Toruń","0463"
"48","powiat tucholski","0416"
"49","powiat raciborski","2411"
"50","powiat cieszyński","2403"
"51","powiat krośnieński","1807"
"52","powiat nyski","1607"
"53","powiat Jelenia Góra","0261"
"54","powiat zgorzelecki","0225"
"55","powiat przasnyski","1422"
"56","powiat Ostrołęka","1461"
"57","powiat średzki","3025"
"58","powiat jarociński","3006"
"59","powiat Gdynia","2262"
"60","powiat Świnoujście","3263"
"61","powiat kamiennogórski","0207"
"62","powiat pabianicki","1008"
"63","powiat kolneński","2006"
"64","powiat Opole","1661"
"65","powiat ostródzki","2815"
"66","powiat przemyski","1813"
"67","powiat Przemyśl","1862"
"68","powiat warszawski zachodni","1432"
"69","powiat włodawski","0619"
"70","powiat Lublin","0663"
"71","powiat bocheński","1201"
"72","powiat Tarnów","1263"
"73","powiat wschowski","0812"
"74","powiat gorzowski","0801"
"75","powiat międzyrzecki","0803"
"76","powiat słubicki","0805"
"77","powiat nowotomyski","3015"
"78","powiat wągrowiecki","3028"
"79","powiat bielski","2003"
"80","powiat suwalski","2012"
"81","powiat słupski","2212"
"82","powiat ostrowiecki","2607"
"83","powiat skarżyski","2610"
"84","powiat kartuski","2205"
"85","powiat częstochowski","2404"
"86","powiat pyrzycki","3212"
"87","powiat Siemianowice Śląskie","2474"
"88","powiat Elbląg","2861"
"89","powiat gryfiński","3206"
"90","powiat Bytom","2462"
"91","powiat złotoryjski","0226"
"92","powiat wrocławski","0223"
"93","powiat milicki","0213"
"94","powiat lubiński","0211"
"95","powiat lipnowski","0408"
"96","powiat żniński","0419"
"97","powiat radziejowski","0411"
"98","powiat nakielski","0410"
"99","powiat bartoszycki","2801"
"100","powiat żywiecki","2417"
"101","powiat sokólski","2011"
"102","powiat jasielski","1805"
"103","powiat głubczycki","1602"
"104","powiat nowosądecki","1210"
"105","powiat Zielona Góra","0862"
"106","powiat Skierniewice","1063"
"107","powiat żagański","0810"
"108","powiat Gdańsk","2261"
"109","powiat lęborski","2208"
"110","powiat Łódź","1061"
"111","powiat piotrkowski","1010"
"112","powiat ostrowski","1416"
"113","powiat starogardzki","2213"
"114","powiat Poznań","3064"
"115","powiat Konin","3062"
"116","powiat stalowowolski","1818"
"117","powiat Tarnobrzeg","1864"
"118","powiat płoński","1420"
"119","powiat mławski","1413"
"120","powiat siedlecki","1426"
"121","powiat garwoliński","1403"
"122","powiat lipski","1409"
"123","powiat hrubieszowski","0604"
"124","powiat kraśnicki","0607"
"125","powiat łęczyński","0610"
"126","powiat opolski","0612"
"127","powiat rycki","0616"
"128","powiat Zamość","0664"
"129","powiat dąbrowski","1204"
